timestamp,Y,A,O,Af,R,sum
1.0,0.9944608129576443,0.0055286171468409044,7.669752838347178E-6,1.0652236384189401E-8,2.8894904400767794E-6,1.0000000000000002
2.0,0.9889570250052286,0.011003633673196438,3.049498026330197E-5,7.294756490052708E-8,8.773393746729207E-6,1.0
3.0,0.9834903566737722,0.016425474519229405,6.820222574735804E-5,2.0666132903285075E-7,1.5759919922013513E-5,0.9999999999999999
4.0,0.9780613522182321,0.021794568481774277,1.2052148474002563E-4,4.1826697568568443E-7,2.3139548277908324E-5,1.0
5.0,0.9726701143200295,0.027111344122620493,1.8718617988677818E-4,7.092616806853468E-7,3.0646115782564564E-5,1.0
6.0,0.9673165796204459,0.03237622823856028,2.6793312939273235E-4,1.0792883543623964E-6,3.81797232467035E-5,1.0
7.0,0.9620006220641434,0.037589645292185635,3.6250251301343453E-4,1.5273062774836693E-6,4.5702824380041625E-5,0.9999999999999999
8.0,0.9567220916707635,0.04275201720304768,4.7063783735223447E-4,2.052029969681557E-6,5.320125886687905E-5,1.0
9.0,0.9514808290916176,0.04786376327403005,5.920859010926414E-4,2.652093644292386E-6,6.066963961537147E-5,0.9999999999999999
10.0,0.9462766710854535,0.0529253001685032,7.26596760399905E-4,3.326112758480893E-6,6.810587288477328E-5,0.9999999999999998
11.0,0.9411094525885857,0.05793704190659517,8.739236945782621E-4,4.072706974909824E-6,7.55091032658842E-5,1.0
12.0,0.9359790075076376,0.06289939986870291,0.0010338231720148708,4.890508653708239E-6,8.287894299082916E-5,1.0
13.0,0.9308851690330009,0.06781278280178879,0.001206054816420676,5.778165919324968E-6,9.021518287024719E-5,0.9999999999999999
14.0,0.9258277697723029,0.0726775968267898,0.0013903813733706716,6.734343694002517E-6,9.751768384261244E-5,0.9999999999999999
15.0,0.9208066418161223,0.07749424544651061,0.0015865686771431022,7.757723969773163E-6,1.0478633625418285E-4,1.0
16.0,0.9158216167780462,0.08226312955376297,0.0017943856178560746,8.84700579593599E-6,1.1202104453871816E-4,0.9999999999999999
17.0,0.9108725258248559,0.08698464743966068,0.002013604108899637,1.0000905160868026E-5,1.1922172142278137E-4,0.9999999999999999
18.0,0.9059591997027652,0.09165919480203448,0.0022439990546612508,1.1218154835232323E-5,1.2638828570375683E-4,0.9999999999999998
19.0,0.9010814687619355,0.09628716475395194,0.0024853483185425197,1.2497504201724179E-5,1.3352066136823907E-4,1.0
20.0,0.8962391629801054,0.10086894783233506,0.0027374326912650497,1.3837719080776043E-5,1.40618777213651E-4,0.9999999999999999
21.0,0.8914321119856503,0.1054049320066714,0.0030000358594632925,1.5237581555746381E-5,1.4768256665915487E-4,1.0
22.0,0.8866601450801951,0.1098955026878155,0.0032729443745622548,1.669588979890708E-5,1.5471196762812395E-4,1.0
23.0,0.8819230912608272,0.11434104273687795,0.003555947621937948,1.8211457898714994E-5,1.6170692245801835E-4,0.9999999999999998
24.0,0.8772207792419321,0.11874193247419965,0.0038488377903584774,1.9783115688542395E-5,1.6866737782110123E-4,0.9999999999999998
25.0,0.8725530374766608,0.12309854968840868,0.004151409841703667,2.1409708576924574E-5,1.7559328464977745E-4,0.9999999999999999
26.0,0.8679196941780375,0.12741126964555768,0.00446346148096114,2.309009737933918E-5,1.8248459806421795E-4,0.9999999999999999
27.0,0.8633205773397111,0.13168046509833908,0.004784793126496778,2.4823158151515514E-5,1.893412773013873E-4,1.0
28.0,0.8587555147563567,0.1359065062953763,0.0051152078805974934,2.660778202426601E-5,1.9616328564513844E-4,0.9999999999999998
29.0,0.8542243340437303,0.14008976099058817,0.0054545115002842615,2.8442875039829722E-5,2.0295059035724266E-4,0.9999999999999999
30.0,0.8497268626583824,0.14423059445262504,0.005802512368393371,3.0327357989717015E-5,2.0970316260930015E-4,0.9999999999999998
31.0,0.8452629279170328,0.14832936947437358,0.006159021464923862,3.226016625404424E-5,2.1642097741550483E-4,0.9999999999999998
