timestamp,SYSp,AYSp,SOSp,AOSp,RASp,RSSp,AReSp,SReSp,SYLp,AYLp,SOLp,AOLp,RALp,RSLp,AReLp,SReLp,Op,sum
1.0,0.9785636186983964,0.019287358728089572,1.6644154380462056E-4,3.2795369704233337E-6,1.1947896206999999E-5,0.0012704670255380285,1.8216633333333336E-10,1.0642463111754585E-8,6.770959137890084E-4,1.3343067045233332E-5,1.1513180990115E-7,2.2641178E-9,2.0215346666666665E-9,4.185788462916666E-7,2.0230000000000006E-13,6.403132166666668E-12,5.89876261625E-6,1.0
2.0,0.9592985557101122,0.03723775351284567,3.263565267033437E-4,1.26598739974776E-5,2.4001961144789333E-5,0.0017130348624943973,1.208704673239503E-9,3.16703515123108E-8,0.001312001554988234,5.0887639703566624E-5,4.4604900451588996E-7,1.7292199792906365E-8,1.6673727108738142E-8,8.427346357499945E-7,1.6927262211768363E-12,4.2592544970342054E-11,2.3392685101655395E-5,1.0
3.0,0.9415877442943698,0.05394821955201511,4.8047120556027404E-4,2.75056962403736E-5,3.0895109439683717E-5,0.0018527686125129124,3.1899218854973846E-9,5.5914266173590025E-8,0.0019087636010615796,1.092434841618608E-4,9.731931801584975E-7,5.568717263364141E-8,3.0013636627842205E-8,1.0863538966003671E-6,6.473490613369741E-12,1.1286712351230477E-10,5.2183973223779654E-5,1.0
4.0,0.9251526296212012,0.06950280146522461,6.293973370729816E-4,4.724088723500946E-5,3.404271006977377E-5,0.0018825842432824643,6.058797985963901E-9,8.080098659760527E-8,0.002470804556863324,1.8538754035074166E-4,1.679404400344671E-6,1.259969900224048E-7,3.8584041703101357E-8,1.1982190235061427E-6,1.6163127812695427E-11,2.153900980962883E-10,9.198234290658463E-5,1.0000000000000002
5.0,0.9098425991972516,0.08397936425335208,7.736728214123051E-4,7.134245841479081E-5,3.5167027765206235E-5,0.001873350859708129,9.719263385909513E-9,1.0543924077319459E-7,0.003001185184808982,2.766315504046296E-4,2.5495857100120035E-6,2.350015450959104E-7,4.311826959351001E-8,1.2385726055800184E-6,3.2014811049688254E-11,3.473402575662611E-10,1.42504830892797E-4,1.0
6.0,0.8955573947127274,0.09745096328075137,9.137793750596333E-4,9.933580989737404E-5,3.5331814769519564E-5,0.0018510622913251026,1.4080561022704886E-8,1.2955071981546107E-7,0.003502673934149524,3.8059063730370817E-4,3.5704356139835235E-6,3.87964529003791E-7,4.510050308263104E-8,1.244840819556844E-6,5.499151129756385E-11,5.060987472502834E-10,2.0347561017961343E-4,1.0
7.0,0.8822183640245203,0.10998608124512077,0.0010501515424619144,1.3079055780240804E-4,3.508181806324061E-5,0.0018252040898043677,1.9062405583872432E-8,1.5307790927703994E-7,0.003977773986551917,4.951529629052101E-4,4.730218893617384E-6,5.888542424246605E-7,4.5686471943370965E-8,1.2362874990921656E-6,8.582279688474969E-11,6.894178271750835E-10,2.746258101074047E-4,1.0
8.0,0.8697576741463938,0.12164874988700669,0.0011831823161952304,1.6531672501905292E-4,3.467153730477068E-5,0.0017991883171164307,2.459396188301181E-8,1.7604034607833556E-7,0.004428743894619194,6.184515379479761E-4,6.0185660591309565E-6,8.405367623774565E-7,4.558081249163991E-8,1.2219590515784643E-6,1.2504468248378505E-10,8.953745959274017E-10,3.556933409841137E-4,0.9999999999999999
9.0,0.8581141432735622,0.13249872842620272,0.0013132273179398517,2.0256123840839933E-4,3.421307218989845E-5,0.0017741945273495987,3.0612201295083446E-8,1.9848211125371794E-7,0.004857618172354847,7.48838591603357E-4,7.426297163284534E-6,1.144944582902402E-6,4.516368879823479E-8,1.2058621763357175E-6,1.7303005717260633E-10,1.1223043683646515E-9,4.464227231309991E-4,1.0000000000000002
10.0,0.8472315220835678,0.1425917300685786,0.0014406082734054796,2.4220470830336059E-4,3.375338994763407E-5,0.001750584373682456,3.706063915600585E-8,2.2045283683204243E-7,0.005266227797455383,8.848624709218469E-4,8.945267143066376E-6,1.5032235680885598E-6,4.4624892553989706E-8,1.189686056717603E-6,2.3001388542346025E-10,1.368749031288897E-9,5.465649202382593E-4,1.0
