timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum,RA+RS,RA+Are
41,0.270678112,0.636637457,0.027118823,0.063289538,6.25E-05,0.002198551,1.05E-05,4.51E-06,1,0.002261024,7.30052E-05
42,0.27017379,0.635121011,0.027729971,0.064715577,1.53E-04,0.002091623,1.08E-05,4.62E-06,1,0.002244266,0.000163412
43,0.269428585,0.633827615,0.028338115,0.066134476,2.69E-05,0.002228584,1.10E-05,4.72E-06,1,0.002255487,3.79098E-05
44,0.26905662,0.632213493,0.028943168,0.06754636,2.29E-04,0.001995394,1.12E-05,4.82E-06,1,0.0022243,0.000240147
45,0.268043387,0.631176813,0.029545313,0.068951116,-1.39E-04,0.002406384,1.15E-05,4.92E-06,1,0.002266978,-0.000127929
46,0.267728681,0.629531311,0.030144343,0.070348976,1.08E-04,0.002121958,1.17E-05,5.02E-06,1,0.002229962,0.000119713
47,0.267624615,0.627708901,0.030740355,0.071739903,5.39E-04,0.001629911,1.19E-05,5.12E-06,1,0.002169168,0.000551196
48,0.266893932,0.626450816,0.031333501,0.073123808,4.13E-04,0.001767349,1.22E-05,5.22E-06,1,0.002180554,0.000425375
49,0.266764541,0.624669856,0.031923594,0.074500908,8.17E-04,0.001306547,1.24E-05,5.32E-06,1,0.002123385,0.000829236
50,0.265500921,0.623902551,0.032510934,0.075870979,2.14E-04,0.001982732,1.26E-05,5.41E-06,1,0.002196572,0.00022647
51,0.264721271,0.62271615,0.03309527,0.077234296,3.67E-05,0.00217795,1.29E-05,5.51E-06,1,0.002214647,4.95543E-05
52,0.264318398,0.621205511,0.033676633,0.078590875,1.91E-04,0.001999363,1.31E-05,5.61E-06,1,0.002189893,0.000203614
53,0.263466869,0.620101401,0.034255174,0.079940631,-5.53E-05,0.002272255,1.33E-05,5.70E-06,1,0.002216915,-4.20313E-05
54,0.26331465,0.618387398,0.034830718,0.081283764,3.15E-04,0.001848832,1.35E-05,5.80E-06,1,0.002164138,0.000328837
55,0.262156035,0.617573639,0.035403561,0.082620058,-2.07E-04,0.002434511,1.38E-05,5.89E-06,1,0.002227057,-0.000193697
56,0.261186884,0.616601299,0.035973521,0.083949722,-5.65E-04,0.00283361,1.40E-05,5.99E-06,1,0.002268609,-0.000551021
57,0.261215305,0.614754857,0.036540476,0.085272908,-4.20E-05,0.002238136,1.42E-05,6.08E-06,1,0.002196173,-2.7765E-05
58,0.261078286,0.613063964,0.037104635,0.086589478,3.32E-04,0.0018109,1.44E-05,6.18E-06,1,0.002143043,0.000346558
59,0.260232215,0.612009871,0.0376661,0.087899384,7.61E-05,0.002095413,1.46E-05,6.27E-06,1,0.002171522,9.07443E-05
60,0.259592767,0.610781825,0.038224735,0.089202795,5.27E-07,0.002176134,1.49E-05,6.36E-06,1,0.002176661,1.53799E-05
61,0.259317237,0.609240514,0.038780527,0.090499766,2.45E-04,0.001895777,1.51E-05,6.46E-06,1,0.00214043,0.00025972
62,0.258345777,0.608324253,0.039333666,0.091790172,-1.30E-04,0.002314008,1.53E-05,6.55E-06,1,0.002184299,-0.000114425
