timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum
1,1,0,0,0,0,0,0,0,1
2,0.555847041,0.441251202,0.001389254,0.001103034,1.31E-04,2.78E-04,1.68E-07,2.22E-07,1
3,0.392272664,0.602414844,0.00196253,0.003010117,-1.59E-04,4.98E-04,4.91E-07,3.10E-07,1
4,0.33227681,0.660004725,0.002491127,0.004949724,1.94E-04,8.21E-05,8.00E-07,4.12E-07,1
5,0.309300178,0.680540474,0.003095546,0.006801285,-1.64E-04,4.24E-04,1.12E-06,5.01E-07,1
6,0.30090863,0.686500221,0.003759938,0.008580654,2.01E-04,4.73E-05,1.40E-06,6.25E-07,1
7,0.296889069,0.688086765,0.004456902,0.010315275,-1.39E-04,3.88E-04,1.71E-06,7.29E-07,1
8,0.295450043,0.687112051,0.005168025,0.012023613,2.24E-04,1.94E-05,1.98E-06,8.61E-07,1
9,0.294058599,0.68609327,0.00588392,0.013715115,-4.55E-05,2.91E-04,2.27E-06,9.71E-07,1
10,0.293300707,0.684457413,0.006599819,0.015394607,5.91E-05,1.85E-04,2.55E-06,1.09E-06,1
11,0.292461828,0.682912216,0.00731374,0.01706413,-1.10E-05,2.55E-04,2.83E-06,1.21E-06,1
12,0.2916334,0.681368089,0.008024763,0.018724665,-1.08E-04,3.52E-04,3.11E-06,1.33E-06,1
13,0.291126271,0.679518263,0.008732461,0.020376697,9.74E-05,1.44E-04,3.37E-06,1.45E-06,1
14,0.290204108,0.678089991,0.009436811,0.022020309,-1.16E-04,3.59E-04,3.66E-06,1.56E-06,1
15,0.28967814,0.676282077,0.010137628,0.023655743,5.77E-05,1.83E-04,3.92E-06,1.68E-06,1
16,0.288875489,0.674759017,0.010835014,0.025282956,-4.64E-05,2.88E-04,4.20E-06,1.80E-06,1
17,0.288291032,0.673032013,0.011528894,0.026902082,6.14E-05,1.78E-04,4.46E-06,1.92E-06,1
18,0.287519211,0.671501542,0.012219348,0.028513098,-1.94E-05,2.59E-04,4.74E-06,2.03E-06,1
19,0.286842891,0.669888187,0.012906344,0.030116094,-9.29E-06,2.49E-04,5.00E-06,2.14E-06,1
20,0.286023305,0.668427701,0.013589939,0.031711071,-1.44E-04,3.85E-04,5.27E-06,2.25E-06,1
21,0.28571683,0.666471782,0.01427004,0.033298177,2.25E-04,1.08E-05,5.52E-06,2.38E-06,1
22,0.284770546,0.665159008,0.014946856,0.034877262,-4.21E-05,2.80E-04,5.80E-06,2.48E-06,1
23,0.284186623,0.663499573,0.015620236,0.03644853,4.58E-05,1.91E-04,6.06E-06,2.60E-06,1
24,0.283464134,0.661988138,0.016290282,0.038011938,-6.40E-06,2.43E-04,6.32E-06,2.71E-06,1
25,0.282575217,0.660652165,0.016957015,0.039567522,-2.26E-04,4.65E-04,6.59E-06,2.81E-06,1
26,0.281935881,0.659080746,0.017620382,0.041115387,-2.03E-04,4.41E-04,6.84E-06,2.92E-06,1
27,0.281545989,0.65727396,0.018280399,0.042655573,6.34E-05,1.71E-04,7.09E-06,3.04E-06,1
28,0.280797758,0.655832004,0.018937184,0.044188019,-2.74E-05,2.62E-04,7.35E-06,3.15E-06,1
29,0.280210162,0.654242281,0.019590668,0.045712848,3.73E-05,1.96E-04,7.60E-06,3.26E-06,1
30,0.279579462,0.652705949,0.0202409,0.047230064,5.61E-05,1.76E-04,7.85E-06,3.37E-06,1
31,0.278831288,0.651296404,0.02088791,0.048739693,-4.42E-05,2.77E-04,8.11E-06,3.47E-06,1
32,0.278285614,0.649697585,0.021531659,0.050241827,5.22E-05,1.79E-04,8.36E-06,3.58E-06,1
33,0.277558294,0.648288821,0.022172229,0.051736438,-3.39E-05,2.66E-04,8.61E-06,3.69E-06,1
34,0.277015834,0.646708098,0.022809574,0.053223625,5.94E-05,1.71E-04,8.85E-06,3.80E-06,1
35,0.276306993,0.645302248,0.023443768,0.054703367,-1.47E-05,2.45E-04,9.10E-06,3.90E-06,1
36,0.275629385,0.643876055,0.024074795,0.056175734,-6.11E-05,2.92E-04,9.35E-06,4.00E-06,1
37,0.275169724,0.642245067,0.024702638,0.057640793,1.05E-04,1.24E-04,9.59E-06,4.11E-06,1
38,0.274316373,0.641013288,0.025327417,0.05909848,-1.22E-04,3.52E-04,9.84E-06,4.21E-06,1
39,0.273839387,0.639420155,0.025949018,0.060548958,2.08E-05,2.07E-04,1.01E-05,4.32E-06,1
40,0.273439191,0.637761478,0.026567506,0.061992215,2.36E-04,-1.11E-05,1.03E-05,4.43E-06,1
41,0.272625256,0.636521657,0.027182978,0.063428205,3.96E-05,1.87E-04,1.06E-05,4.52E-06,1
42,0.27200555,0.635100206,0.02779535,0.064857065,3.19E-05,1.94E-04,1.08E-05,4.63E-06,1
43,0.271487771,0.633588232,0.028404651,0.066278815,1.22E-04,1.03E-04,1.10E-05,4.73E-06,1
44,0.270657038,0.632395426,0.029010966,0.067693422,-1.00E-04,3.27E-04,1.13E-05,4.82E-06,1
45,0.270280527,0.630764066,0.029614181,0.069101048,1.23E-04,1.00E-04,1.15E-05,4.93E-06,1
46,0.269458783,0.629582414,0.030214463,0.070501581,-9.57E-05,3.22E-04,1.17E-05,5.02E-06,1
47,0.269092972,0.627960418,0.030811676,0.071895202,1.32E-04,9.02E-05,1.20E-05,5.13E-06,1
48,0.268305005,0.626765239,0.031405981,0.073281804,-5.92E-05,2.84E-04,1.22E-05,5.22E-06,1
49,0.267873779,0.625227581,0.031997264,0.074661548,9.84E-05,1.24E-04,1.24E-05,5.33E-06,1
50,0.267066184,0.624071421,0.03258566,0.076034349,-1.18E-04,3.43E-04,1.27E-05,5.42E-06,1
51,0.266645823,0.62254257,0.033171058,0.077400366,4.42E-05,1.78E-04,1.29E-05,5.52E-06,1
52,0.266017499,0.6212288,0.033753571,0.078759536,-1.45E-06,2.23E-04,1.31E-05,5.62E-06,1
53,0.264851734,0.620455457,0.03433327,0.080111839,-5.81E-04,8.09E-04,1.34E-05,5.69E-06,1
54,0.264611934,0.618777224,0.034909924,0.081457548,-2.48E-04,4.72E-04,1.36E-05,5.80E-06,1
55,0.26448337,0.616998684,0.035483683,0.082796564,1.91E-04,2.70E-05,1.38E-05,5.92E-06,1
56,0.263550072,0.616024409,0.036054716,0.084128769,-1.67E-04,3.89E-04,1.40E-05,6.00E-06,1
57,0.263349774,0.614335673,0.036622779,0.085454451,1.96E-04,2.13E-05,1.42E-05,6.11E-06,1
58,0.262431276,0.613365647,0.037188128,0.086773402,-1.54E-04,3.74E-04,1.45E-05,6.18E-06,1
59,0.262246252,0.611680597,0.037750537,0.088085895,2.19E-04,-3.08E-06,1.47E-05,6.29E-06,1
60,0.261400437,0.610657465,0.038310251,0.089391733,-6.41E-05,2.83E-04,1.49E-05,6.38E-06,1
61,0.261020477,0.60918352,0.038867097,0.090691135,1.10E-04,1.06E-04,1.51E-05,6.48E-06,1
62,0.260233324,0.608120943,0.039421234,0.091983989,-1.20E-04,3.39E-04,1.53E-05,6.56E-06,1
63,0.25983807,0.606680502,0.039972542,0.093270459,3.35E-05,1.83E-04,1.55E-05,6.66E-06,1
64,0.259348124,0.60534271,0.040521117,0.094550497,9.11E-05,1.24E-04,1.57E-05,6.75E-06,1
65,0.258600219,0.604268765,0.041066999,0.095824108,-1.09E-04,3.26E-04,1.60E-05,6.83E-06,1
66,0.258264729,0.602796555,0.041610091,0.097091435,9.58E-05,1.18E-04,1.62E-05,6.93E-06,1
67,0.257509886,0.601747497,0.042150545,0.098352371,-1.16E-04,3.33E-04,1.64E-05,7.01E-06,1
68,0.257150298,0.600317032,0.042688237,0.099607084,5.93E-05,1.54E-04,1.66E-05,7.11E-06,1
69,0.256537904,0.599145145,0.043223291,0.100855497,-1.74E-05,2.32E-04,1.68E-05,7.20E-06,1
70,0.255984138,0.597924218,0.043755667,0.102097692,-3.89E-05,2.53E-04,1.70E-05,7.28E-06,1
71,0.255525318,0.596618338,0.044285372,0.103333708,3.07E-05,1.82E-04,1.72E-05,7.38E-06,1
72,0.255100614,0.595287538,0.04481243,0.104563565,1.31E-04,7.95E-05,1.74E-05,7.47E-06,1
73,0.254380891,0.594256829,0.045336909,0.105787239,-6.17E-05,2.75E-04,1.76E-05,7.55E-06,1
74,0.254026373,0.592874128,0.045858713,0.107004869,1.03E-04,1.07E-04,1.78E-05,7.64E-06,1
75,0.253279284,0.591887774,0.046377979,0.108216362,-1.22E-04,3.35E-04,1.80E-05,7.72E-06,1
76,0.252908555,0.590538323,0.046894594,0.109421875,2.16E-05,1.89E-04,1.82E-05,7.81E-06,1
77,0.252860734,0.588878523,0.047408578,0.110621427,4.82E-04,-2.77E-04,1.84E-05,7.92E-06,1
78,0.252300629,0.58773317,0.047920085,0.111814913,4.33E-04,-2.29E-04,1.86E-05,8.00E-06,1
79,0.251915311,0.586423669,0.048429012,0.113002475,5.55E-04,-3.52E-04,1.88E-05,8.09E-06,1
80,0.251167404,0.585480691,0.048935461,0.114184055,3.16E-04,-1.11E-04,1.90E-05,8.16E-06,1
81,0.250655897,0.58431263,0.049439346,0.115359779,3.08E-04,-1.03E-04,1.92E-05,8.25E-06,1
82,0.250085374,0.583211198,0.049940728,0.11652963,2.40E-04,-3.44E-05,1.94E-05,8.33E-06,1
83,0.249432046,0.582199849,0.050439624,0.117693632,8.69E-05,1.20E-04,1.96E-05,8.40E-06,1
84,0.248744962,0.581230099,0.050936038,0.118851823,-1.02E-04,3.11E-04,1.98E-05,8.48E-06,1
85,0.248476479,0.579855156,0.051429907,0.120004306,1.21E-04,8.50E-05,2.00E-05,8.57E-06,1
86,0.247759735,0.578931099,0.051921387,0.121150967,-1.02E-04,3.10E-04,2.02E-05,8.64E-06,1
87,0.247495337,0.577568441,0.052410342,0.122291984,1.19E-04,8.56E-05,2.04E-05,8.73E-06,1
88,0.246781414,0.576657835,0.052896933,0.123427235,-1.06E-04,3.13E-04,2.06E-05,8.81E-06,1
89,0.24651498,0.575313344,0.053381024,0.124556898,1.09E-04,9.51E-05,2.07E-05,8.90E-06,1
90,0.245800435,0.574419427,0.053862775,0.125680853,-1.21E-04,3.28E-04,2.09E-05,8.97E-06,1
91,0.245474541,0.573149655,0.054342059,0.126799265,3.00E-05,1.74E-04,2.11E-05,9.05E-06,1
92,0.245108149,0.571927816,0.05481896,0.127912093,1.39E-04,6.38E-05,2.13E-05,9.14E-06,1
93,0.244475895,0.570976443,0.055293527,0.129019327,-1.73E-05,2.21E-04,2.15E-05,9.21E-06,1
94,0.24397495,0.569903246,0.055765706,0.13012106,-4.60E-05,2.50E-04,2.17E-05,9.29E-06,1
95,0.243605388,0.568708115,0.056235509,0.131217319,5.27E-05,1.50E-04,2.19E-05,9.37E-06,1
96,0.243044126,0.567710089,0.056703001,0.132308079,-4.02E-05,2.43E-04,2.20E-05,9.44E-06,1
97,0.242653387,0.566551396,0.057168133,0.133393427,3.30E-05,1.69E-04,2.22E-05,9.52E-06,1
98,0.242248002,0.56541487,0.057630948,0.134473359,8.94E-05,1.11E-04,2.24E-05,9.60E-06,1
99,0.241588445,0.564537032,0.058091498,0.135547862,-1.07E-04,3.10E-04,2.26E-05,9.67E-06,1
100,0.241343645,0.563257203,0.058549683,0.136617075,1.03E-04,9.69E-05,2.28E-05,9.76E-06,1
101,0.240659549,0.562418814,0.059005655,0.137680883,-1.23E-04,3.25E-04,2.29E-05,9.82E-06,1
